date,収支タイプ,収支カテゴリー,収支項目,金額,目標
2024-12-10,特別収支,収入,贈与,0.0,0
2024-12-10,一般収支,支出,ローン返済,-0.0,0
2024-12-10,特別収支,収入,退職金,0.0,0
2024-12-10,特別収支,収入,児童手当,0.0,0
2024-12-10,特別収支,収入,NTT,0.0,0
2024-12-10,特別収支,支出,ローン一括,-0.0,0
2024-12-10,一般収支,支出,子供費用,-0.0,0
2024-12-10,特別収支,収入,所得税還付,0.0,0.0
2024-12-10,特別収支,支出,固定資産税,-0.0,0
2024-12-10,特別収支,支出,車検B,-0.0,0
2024-12-10,特別収支,支出,自動車税,-0.0,0
2024-12-10,特別収支,支出,子供,-0.0,0
2024-12-10,一般収支,支出,生活費,-0.0,0
2024-12-10,特別収支,支出,車,-0.0,0
2024-12-10,特別収支,収入,特典,0.0,0
2024-12-10,一般収支,収入,ポイント,2023.0,0
2024-12-11,特別収支,収入,所得税還付,0.0,0.0
2024-12-11,特別収支,支出,ふるさと納税,-0.0,0
2024-12-11,特別収支,収入,賞与,0.0,0
2024-12-11,特別収支,収入,年末調整,0.0,0
2024-12-11,特別収支,収入,贈与,0.0,0
2024-12-11,一般収支,支出,ローン返済,-0.0,0
2024-12-11,特別収支,収入,退職金,0.0,0
2024-12-11,特別収支,収入,児童手当,0.0,0
2024-12-11,特別収支,収入,NTT,0.0,0
2024-12-11,一般収支,支出,子供費用,-0.0,0
2024-12-11,特別収支,収入,特典,0.0,0
2024-12-11,一般収支,収入,給与,0.0,0
2024-12-11,特別収支,支出,子供,-0.0,0
2024-12-11,一般収支,支出,生活費,-0.0,0
2024-12-11,特別収支,支出,車,-0.0,0
2024-12-11,特別収支,支出,家電,-0.0,0
2024-12-11,特別収支,支出,ローン一括,-0.0,0
2024-12-11,一般収支,収入,ポイント,-700.0,0
2024-12-11,特別収支,支出,固定資産税,-0.0,0
2024-12-11,特別収支,支出,自動車税,-0.0,0
2024-12-11,特別収支,支出,車検B,-0.0,0
2024-12-11,特別収支,支出,車検A,-0.0,0
2024-12-12,特別収支,支出,自動車税,-0.0,0
2024-12-12,特別収支,支出,車検A,-0.0,0
2024-12-12,一般収支,支出,生活費,-0.0,0
2024-12-12,一般収支,支出,子供費用,6000.0,0
2024-12-12,特別収支,支出,固定資産税,-0.0,0
2024-12-12,特別収支,収入,退職金,0.0,0
2024-12-12,特別収支,収入,贈与,0.0,0
2024-12-12,特別収支,収入,児童手当,0.0,0
2024-12-12,特別収支,収入,賞与,0.0,0
2024-12-12,特別収支,収入,所得税還付,0.0,0.0
2024-12-12,特別収支,支出,車検B,-0.0,0
2024-12-12,特別収支,支出,車,-0.0,0
2024-12-12,特別収支,収入,NTT,0.0,0
2024-12-12,一般収支,収入,給与,0.0,0
2024-12-12,特別収支,支出,ふるさと納税,-0.0,0
2024-12-12,一般収支,支出,ローン返済,-0.0,0
2024-12-12,特別収支,支出,子供,-0.0,0
2024-12-12,特別収支,収入,特典,0.0,0
2024-12-12,特別収支,支出,ローン一括,-0.0,0
2024-12-12,特別収支,支出,家電,-0.0,0
2024-12-12,一般収支,収入,ポイント,2609.0,0
2024-12-12,特別収支,収入,年末調整,0.0,0
2024-12-13,一般収支,支出,子供費用,-0.0,0
2024-12-13,特別収支,支出,子供,-0.0,0
2024-12-13,特別収支,収入,賞与,0.0,0
2024-12-13,一般収支,収入,給与,0.0,0
2024-12-13,特別収支,支出,車検A,-0.0,0
2024-12-13,特別収支,支出,ローン一括,-0.0,0
2024-12-13,特別収支,収入,所得税還付,0.0,0.0
2024-12-13,特別収支,収入,贈与,0.0,0
2024-12-13,特別収支,収入,退職金,0.0,0
2024-12-13,特別収支,収入,年末調整,0.0,0
2024-12-13,特別収支,支出,固定資産税,-0.0,0
2024-12-13,特別収支,収入,NTT,0.0,0
2024-12-13,特別収支,支出,自動車税,-0.0,0
2024-12-13,一般収支,支出,ローン返済,-0.0,0
2024-12-13,一般収支,支出,生活費,-0.0,0
2024-12-13,特別収支,支出,車,-0.0,0
2024-12-13,特別収支,収入,特典,0.0,0
2024-12-13,一般収支,収入,ポイント,130.0,0
2024-12-13,特別収支,収入,児童手当,20000.0,0
2024-12-13,特別収支,支出,ふるさと納税,-0.0,0
2024-12-13,特別収支,支出,家電,-0.0,0
2024-12-13,特別収支,支出,車検B,-0.0,0
2024-12-14,特別収支,支出,自動車税,-0.0,0
2024-12-14,特別収支,支出,車,-0.0,0
2024-12-14,特別収支,支出,ふるさと納税,-0.0,0
2024-12-14,特別収支,支出,子供,-0.0,0
2024-12-14,特別収支,収入,退職金,0.0,0
2024-12-14,特別収支,収入,年末調整,0.0,0
2024-12-14,一般収支,収入,ポイント,-9955.0,0
2024-12-14,一般収支,支出,子供費用,-0.0,0
2024-12-14,特別収支,収入,所得税還付,0.0,0.0
2024-12-14,特別収支,収入,贈与,0.0,0
2024-12-14,特別収支,支出,車検B,-0.0,0
2024-12-14,特別収支,支出,固定資産税,-0.0,0
2024-12-14,一般収支,支出,生活費,-0.0,0
2024-12-14,特別収支,支出,家電,-0.0,0
2024-12-14,特別収支,収入,NTT,0.0,0
2024-12-14,一般収支,収入,給与,0.0,0
2024-12-14,特別収支,支出,車検A,-0.0,0
2024-12-14,特別収支,支出,ローン一括,-0.0,0
2024-12-14,特別収支,収入,賞与,0.0,0
2024-12-14,一般収支,支出,ローン返済,-0.0,0
2024-12-14,特別収支,収入,児童手当,0.0,20000
2024-12-14,特別収支,収入,特典,0.0,0
2024-12-15,特別収支,支出,車,-0.0,0
2024-12-15,特別収支,収入,NTT,0.0,0
2024-12-15,特別収支,支出,家電,-0.0,0
2024-12-15,特別収支,収入,年末調整,0.0,0
2024-12-15,特別収支,支出,ふるさと納税,-0.0,0
2024-12-15,特別収支,支出,子供,-0.0,0
2024-12-15,特別収支,収入,児童手当,0.0,0
2024-12-15,特別収支,収入,特典,0.0,0
2024-12-15,特別収支,支出,ローン一括,-0.0,0
2024-12-15,特別収支,支出,自動車税,-0.0,0
2024-12-15,特別収支,支出,車検A,-0.0,0
2024-12-15,一般収支,収入,ポイント,979.0,0
2024-12-15,一般収支,支出,子供費用,-0.0,0
2024-12-15,一般収支,収入,給与,0.0,0
2024-12-15,特別収支,収入,贈与,0.0,0
2024-12-15,特別収支,収入,所得税還付,0.0,0.0
2024-12-15,特別収支,支出,固定資産税,-0.0,0
2024-12-15,特別収支,収入,退職金,0.0,0
2024-12-15,一般収支,支出,生活費,-0.0,0
2024-12-15,一般収支,支出,ローン返済,-0.0,0
2024-12-15,特別収支,収入,賞与,0.0,0
2024-12-15,特別収支,支出,車検B,-0.0,0
2024-12-16,特別収支,収入,年末調整,0.0,0
2024-12-16,特別収支,収入,所得税還付,0.0,0.0
2024-12-16,特別収支,支出,子供,-0.0,0
2024-12-16,特別収支,収入,賞与,0.0,0
2024-12-16,特別収支,支出,固定資産税,-0.0,0
2024-12-16,特別収支,支出,車検A,-0.0,0
2024-12-16,特別収支,支出,ふるさと納税,-0.0,0
2024-12-16,特別収支,収入,贈与,0.0,0
2024-12-16,特別収支,支出,車,-0.0,0
2024-12-16,一般収支,支出,ローン返済,-0.0,0
2024-12-16,一般収支,収入,給与,0.0,0
2024-12-16,特別収支,支出,ローン一括,-0.0,0
2024-12-16,特別収支,支出,自動車税,-0.0,0
2024-12-16,特別収支,支出,家電,-0.0,0
2024-12-16,特別収支,収入,退職金,0.0,0
2024-12-16,特別収支,支出,車検B,-0.0,0
2024-12-16,一般収支,支出,生活費,-0.0,0
2024-12-16,特別収支,収入,NTT,0.0,0
2024-12-16,一般収支,支出,子供費用,-0.0,0
2024-12-16,特別収支,収入,児童手当,0.0,0
2024-12-16,一般収支,収入,ポイント,870.0,0
2024-12-16,特別収支,収入,特典,0.0,0
2024-12-17,特別収支,収入,贈与,0.0,0
2024-12-17,特別収支,収入,児童手当,0.0,0
2024-12-17,特別収支,支出,子供,-0.0,0
2024-12-17,一般収支,支出,ローン返済,-0.0,0
2024-12-17,特別収支,支出,車,-0.0,0
2024-12-17,特別収支,支出,ふるさと納税,-0.0,0
2024-12-17,一般収支,支出,生活費,-0.0,0
2024-12-17,特別収支,支出,ローン一括,-0.0,0
2024-12-17,一般収支,収入,給与,0.0,0
2024-12-17,特別収支,収入,年末調整,0.0,0
2024-12-17,特別収支,収入,NTT,0.0,0
2024-12-17,特別収支,支出,車検A,-0.0,0
2024-12-17,特別収支,支出,自動車税,-0.0,0
2024-12-17,特別収支,支出,固定資産税,-0.0,0
2024-12-17,特別収支,収入,退職金,0.0,0
2024-12-17,特別収支,収入,賞与,0.0,0
2024-12-17,特別収支,収入,特典,10.0,0
2024-12-17,特別収支,支出,家電,-0.0,0
2024-12-17,一般収支,支出,子供費用,-0.0,0
2024-12-17,一般収支,収入,ポイント,1828.0,0
2024-12-17,特別収支,収入,所得税還付,0.0,0.0
2024-12-17,特別収支,支出,車検B,-0.0,0
2024-12-18,特別収支,収入,賞与,0.0,0
2024-12-18,特別収支,支出,車検B,-0.0,0
2024-12-18,特別収支,収入,贈与,0.0,0
2024-12-18,特別収支,収入,所得税還付,0.0,0.0
2024-12-18,一般収支,収入,給与,0.0,0
2024-12-18,一般収支,支出,子供費用,-0.0,0
2024-12-18,特別収支,収入,NTT,0.0,0
2024-12-18,特別収支,支出,ふるさと納税,-0.0,0
2024-12-18,特別収支,支出,車,-0.0,0
2024-12-18,特別収支,支出,子供,-0.0,0
2024-12-18,一般収支,収入,ポイント,-1960.0,0
